"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Seismological and geothermal research in New Zealand","Adam, R D; Hatherton, T","15 GEOTHERMAL ENERGY; NEW ZEALAND; GEOTHERMAL ENERGY; SEISMOLOGY; RESEARCH PROGRAMS; AUSTRALASIA; ENERGY; ENERGY SOURCES; RENEWABLE ENERGY SOURCES; 150102* - Geothermal Energy- Resources & Availability- Non-USA- (-1989)","","","","Dept. Sci. and Industrial Res., Wellington, England","","","United States","1973-11-30T00:00:00Z","English","Journal Article","","Journal Name: Nature (London); Journal Volume: 246:5431","","Medium: X; Size: Pages: 262-4","","","","Journal ID: CODEN: NATUA","10.1038/246262a0","","2016-05-04T00:00:00Z","5146307","https://www.osti.gov/biblio/5146307","","Nature (London)","","246:5431"
"Requirements for assessing the climatic impact of geothermal development in Lake County, California","Coleman, R B; Mackay, K P","15 GEOTHERMAL ENERGY; CALIFORNIA; GEOTHERMAL POWER PLANTS; ENVIRONMENTAL EFFECTS; CLIMATES; COOLING TOWERS; HEAT; METEOROLOGY; MOISTURE; ENERGY; NORTH AMERICA; POWER PLANTS; THERMAL POWER PLANTS; USA; 150600* - Geothermal Energy- Environmental Aspects","","","","San Jose State Univ., CA; American Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1215","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5239929","https://www.osti.gov/biblio/5239929","","EOS, Trans., Am. Geophys. Union","","54:11"
"Microearthquake investigation of the Mesa geothermal anomaly, Imperial Valley, California","Combs, J; Hadley, D M","15 GEOTHERMAL ENERGY; IMPERIAL VALLEY; MICROEARTHQUAKES; CALIFORNIA; GEOTHERMAL FIELDS; SEISMOLOGY; EARTHQUAKES; NORTH AMERICA; SEISMIC EVENTS; USA; 150600* - Geothermal Energy- Environmental Aspects","","","","Univ. California, Riverside; American Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1213-14","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5239935","https://www.osti.gov/biblio/5239935","","EOS, Trans., Am. Geophys. Union","","54:11"
"Exploration for geothermal systems in the Imperial Valley area, California, using the Na--K--Ca technique","Coplen, T B","15 GEOTHERMAL ENERGY; CALIFORNIA; GEOTHERMAL EXPLORATION; IMPERIAL VALLEY; GEOCHEMICAL SURVEYS; CALCIUM; POTASSIUM; QUANTITY RATIO; SODIUM; ALKALI METALS; ALKALINE EARTH METALS; ELEMENTS; EXPLORATION; METALS; NORTH AMERICA; USA; 150302* - Geothermal Exploration & Exploration Technology- Geochemical Techniques & Surveys","","","","Univ. California, Riverside; American Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1213","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5239958","https://www.osti.gov/biblio/5239958","","EOS, Trans., Am. Geophys. Union","","54:11"
"Thermal and electrical resistivity investigations of the dunes geothermal anomaly, Imperial Valley, California","Black, W E; Nelson, J S; Combs, J","15 GEOTHERMAL ENERGY; BOREHOLES; TEMPERATURE GRADIENTS; CALIFORNIA; GEOTHERMAL EXPLORATION; IMPERIAL VALLEY; ELECTRICAL SURVEYS; CLAYS; GEOLOGY; HEAT FLOW; SAND; SANDSTONES; SILT; THERMAL WATERS; CAVITIES; EXPLORATION; GEOPHYSICAL SURVEYS; MINERALS; NORTH AMERICA; ROCKS; SEDIMENTARY ROCKS; USA; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","Harding-Lawson Associates, San Rafael, CA; Am. Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1214","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5240009","https://www.osti.gov/biblio/5240009","","EOS, Trans., Am. Geophys. Union","","54:11"
"Heat flow studies in the state of Oregon","Bowen, R G; Blackwell, D D","15 GEOTHERMAL ENERGY; BOREHOLES; HEAT FLOW; OREGON; GEOTHERMAL EXPLORATION; AIR; GEOPHYSICAL SURVEYS; METEOROLOGY; TOPOGRAPHY; CAVITIES; EXPLORATION; FLUIDS; GASES; NORTH AMERICA; USA; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","Oregon Dept. Geology and Mineral Industries, Portland, OR; American Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1213","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5240013","https://www.osti.gov/biblio/5240013","","EOS, Trans., Am. Geophys. Union","","54:11"
"Seismic noise survey in Long Valley, California","Iyer, H M; Hitchcock, T","15 GEOTHERMAL ENERGY; CALIFORNIA; GEOTHERMAL EXPLORATION; SEISMIC SURVEYS; GEOTHERMAL FIELDS; GEOPHYSICAL SURVEYS; SEISMIC NOISE; EXPLORATION; NORTH AMERICA; USA; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","US Geological Survey, Menlo Park, CA; Amer. Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1212","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5240035","https://www.osti.gov/biblio/5240035","","EOS, Trans., Am. Geophys. Union","","54:11"
"Volcanic rocks as geologic guides to geothermal exploration and evaluation. [Age, composition and volume]","Smith, R L; Shaw, H R","15 GEOTHERMAL ENERGY; GEOTHERMAL EXPLORATION; GEOLOGICAL SURVEYS; VOLCANIC ROCKS; GEOPHYSICAL SURVEYS; MAGMA; SILICON OXIDES; SOLIDIFICATION; CHALCOGENIDES; EXPLORATION; IGNEOUS ROCKS; OXIDES; OXYGEN COMPOUNDS; PHASE TRANSFORMATIONS; ROCKS; SILICON COMPOUNDS; 150200* - Geology & Hydrology of Geothermal Systems","","","","US Geological Survey, Washington, DC; Amer. Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1213","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5214667","https://www.osti.gov/biblio/5214667","","EOS, Trans., Am. Geophys. Union","","54:11"
"Application of the self-potential method in the exploration for geothermal energy in Long Valley, California","Anderson, L A; Johnson, G R","15 GEOTHERMAL ENERGY; CALIFORNIA; GEOTHERMAL EXPLORATION; GEOTHERMAL FIELDS; ELECTRICAL SURVEYS; GEOTHERMAL RESOURCES; GROUND WATER; THERMAL WATERS; EXPLORATION; GEOPHYSICAL SURVEYS; HYDROGEN COMPOUNDS; NORTH AMERICA; OXYGEN COMPOUNDS; RESOURCES; USA; WATER; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","US Geological Survey, Denver, CO; Amer. Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1212","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5214688","https://www.osti.gov/biblio/5214688","","EOS, Trans., Am. Geophys. Union","","54:11"
"Preliminary results of geothermal well Mesa 6-2, Mesa anomaly, Imperial Valley, California. [1830 m well depth, 187/sup 0/C bottom-hole temperature]","Swanberg, C A","15 GEOTHERMAL ENERGY; GEOTHERMAL WELLS; CALIFORNIA; IMPERIAL VALLEY; TEMPERATURE MEASUREMENT; WELL CASINGS; NORTH AMERICA; USA; WELLS; 150904* - Geothermal Engineering- Geothermal Reservoir & Well Performance; 150901 - Geothermal Engineering- Drilling Technology & Well Hardware","","","","US Bur. Reclamation, Boulder City, NV; Amer. Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1215-16","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5146181","https://www.osti.gov/biblio/5146181","","EOS, Trans., Am. Geophys. Union","","54:11"
"Flashing flow in hot water geothermal wells","Nathenson, M","15 GEOTHERMAL ENERGY; GEOTHERMAL WELLS; PERFORMANCE; THERMAL WATERS; FLASHING; AQUIFERS; FLOW RATE; FLUID FLOW; HOT-WATER SYSTEMS; MASS TRANSFER; PRESSURE DROP; TEMPERATURE DISTRIBUTION; EVAPORATION; GEOTHERMAL SYSTEMS; HYDROTHERMAL SYSTEMS; PHASE TRANSFORMATIONS; WELLS; 150904* - Geothermal Engineering- Geothermal Reservoir & Well Performance","","","","US Geological Survey, Menlo Park, CA; Amer. Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1215","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5146185","https://www.osti.gov/biblio/5146185","","EOS, Trans., Am. Geophys. Union","","54:11"
"Audio-magnetotelluric sounding as a reconnaissance exploration technique in Long Valley, CA","Hoover, D B; Frischknecht, F C; Tippens, C L","15 GEOTHERMAL ENERGY; CALIFORNIA; GEOTHERMAL EXPLORATION; GEOTHERMAL FIELDS; ELECTROMAGNETIC SURVEYS; GEOPHYSICAL SURVEYS; HOT SPRINGS; ELECTRICAL SURVEYS; EXPLORATION; NORTH AMERICA; THERMAL SPRINGS; USA; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","US Geological Survey, Denver, Co; Amer. Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1212","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5146244","https://www.osti.gov/biblio/5146244","","EOS, Trans., Am. Geophys. Union","","54:11"
"Geothermal resource investigations","Porter, L R","15 GEOTHERMAL ENERGY; GEOTHERMAL RESOURCES; POWER GENERATION; WATER RESOURCES; IMPERIAL VALLEY; BRINES; COLORADO RIVER; FRESH WATER; GEOTHERMAL FLUIDS; WATER; CALIFORNIA; FLUIDS; HYDROGEN COMPOUNDS; NORTH AMERICA; OXYGEN COMPOUNDS; RESOURCES; RIVERS; STREAMS; SURFACE WATERS; USA; 150101* - Geothermal Energy- Resources & Availability- USA- (-1989); 151000 - Geothermal Energy- Direct Energy Utilization","","","","US Bur. Reclam., Boulder City, NV","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: J. Hydraul. Div., Am. Soc. Civ. Eng.; Journal Volume: 99, Paper 10136:HY11","","Medium: X; Size: Pages: 2097-111","","","","Journal ID: CODEN: JYCEA","","","2009-12-16T00:00:00Z","5146319","https://www.osti.gov/biblio/5146319","","J. Hydraul. Div., Am. Soc. Civ. Eng.","","99, Paper 10136:HY11"
"Heat rejection from geothermal power plants","Anderson, J H","15 GEOTHERMAL ENERGY; GEOTHERMAL POWER PLANTS; COOLING; THERMAL EFFICIENCY; WASTE HEAT; EFFICIENCY; ENERGY; ENERGY SOURCES; HEAT; POWER PLANTS; THERMAL POWER PLANTS; WASTES; 150801* - Geothermal Power Plants- Design & Operation","","","","Sea Solar Power Inc., York, PA","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; (United States); Journal Volume: 54:11","","Medium: X; Size: Pages: 1065","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5169003","https://www.osti.gov/biblio/5169003","","EOS, Trans., Am. Geophys. Union; (United States)","","54:11"
"Vertical two-phase steam-water flow in geothermal wells","Gould, T L","15 GEOTHERMAL ENERGY; COMPUTER CODES; TWO-PHASE FLOW; GEOTHERMAL FLUIDS; GEOTHERMAL WELLS; EQUATIONS; PRESSURE DROP; SIMULATION; STEAM; WATER; FLUID FLOW; FLUIDS; HYDROGEN COMPOUNDS; OXYGEN COMPOUNDS; WELLS; 150904* - Geothermal Engineering- Geothermal Reservoir & Well Performance","","","","Intercomp, Houston, TX; Amer. Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1215","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5174233","https://www.osti.gov/biblio/5174233","","EOS, Trans., Am. Geophys. Union","","54:11"
"LASL geothermal energy program: summary of in-situ experiments in the first exploratory hole","Brown, D W; Potter, R M","15 GEOTHERMAL ENERGY; HOT-DRY-ROCK SYSTEMS; HYDRAULIC FRACTURING; NEW MEXICO; GEOTHERMAL RESOURCES; BOREHOLES; TEMPERATURE MEASUREMENT; CAVITIES; COMMINUTION; FRACTURING; GEOTHERMAL SYSTEMS; NORTH AMERICA; RESOURCES; USA; 150906* - Geothermal Engineering- Reservoir Stimulation & Extraction Technology","","","","Univ. California, Los Alamos, NM; American Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1214","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5174262","https://www.osti.gov/biblio/5174262","","EOS, Trans., Am. Geophys. Union","","54:11"
"Total-field resistivity map of Long Valley, California","Stanley, W D; Jackson, D B; Zohdy, A A.R.","15 GEOTHERMAL ENERGY; CALIFORNIA; GEOTHERMAL EXPLORATION; GEOTHERMAL FIELDS; ELECTRICAL SURVEYS; ELECTRIC CONDUCTIVITY; GEOTHERMAL RESOURCES; HYDROTHERMAL SYSTEMS; MAPS; ELECTRICAL PROPERTIES; EXPLORATION; GEOPHYSICAL SURVEYS; GEOTHERMAL SYSTEMS; NORTH AMERICA; PHYSICAL PROPERTIES; RESOURCES; USA; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","US Geological Survey, Denver, CO; Amer. Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: 1973 Fall Annual Meeting of American Geophysical Union, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1212","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5174291","https://www.osti.gov/biblio/5174291","","EOS, Trans., Am. Geophys. Union","","54:11"
"Petrology of silicified cap rocks in the dunes geothermal anomaly, Imperial Valley of California. [150/sup 0/C or 290 M. well depth]","Bird, D K; Elders, W A","15 GEOTHERMAL ENERGY; CAP ROCK; PETROLOGY; IMPERIAL VALLEY; BOREHOLES; BRINES; CALIFORNIA; COLORADO RIVER; HYDROTHERMAL SYSTEMS; QUARTZITES; ROCKS; SEDIMENTS; SILICON OXIDES; CAVITIES; CHALCOGENIDES; GEOLOGY; GEOTHERMAL SYSTEMS; METAMORPHIC ROCKS; NORTH AMERICA; OXIDES; OXYGEN COMPOUNDS; RIVERS; SILICON COMPOUNDS; STREAMS; SURFACE WATERS; USA; 150201* - Geology & Hydrology of Geothermal Systems- USA- (-1989)","","","","Univ. California, Riverside; American Geophys. Union","","","United States","1973-11-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; Journal Volume: 54:11; Conference: Amer. Geophys. Union 1973 Fall Annual Meeting, San Francisco, CA, 10-13 Dec 1973","","Medium: X; Size: Pages: 1214","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5174365","https://www.osti.gov/biblio/5174365","","EOS, Trans., Am. Geophys. Union","","54:11"
"Magnetic telechemistry of oceanic crust","Vogt, P R; Johnson, G L","15 GEOTHERMAL ENERGY; IRON; ABUNDANCE; SEAS; GEOCHEMICAL SURVEYS; MAGNETIC SURVEYS; SEDIMENTS; TITANIUM; BASALT; BRINES; CHEMICAL COMPOSITION; EARTH CRUST; THERMAL WATERS; ELEMENTS; GEOPHYSICAL SURVEYS; IGNEOUS ROCKS; METALS; ROCKS; SURFACE WATERS; TRANSITION ELEMENTS; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys; 150302 - Geothermal Exploration & Exploration Technology- Geochemical Techniques & Surveys","","","","US Naval Oceanographic Office Wash., D.C.","","","United States","1973-10-19T00:00:00Z","English","Journal Article","","Journal Name: Nature (London); (United States); Journal Volume: 245:5425","","Medium: X; Size: Pages: 373-5","","","","Journal ID: CODEN: NATUA","10.1038/245373a0","","2016-05-16T00:00:00Z","5209154","https://www.osti.gov/biblio/5209154","","Nature (London); (United States)","","245:5425"
"Detailed heat flow, topographic, and magnetic survey across the Galapagos spreading center at 86/sup 0/W","Sclater, J G; Klitgord, K D","15 GEOTHERMAL ENERGY; PACIFIC OCEAN; GEOPHYSICAL SURVEYS; HEAT FLOW; DATA; MAGNETIC SURVEYS; TOPOGRAPHY; INFORMATION; SEAS; SURFACE WATERS; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys; 150202 - Geology & Hydrology of Geothermal Systems- Non-USA- (-1989)","","","","Univ. California, San Diego, La Jolla","","","United States","1973-10-10T00:00:00Z","English","Journal Article","","Journal Name: J. Geophys. Res.; (United States); Journal Volume: 78:29","","Medium: X; Size: Pages: 6951-75","","","","Journal ID: CODEN: JGREA","10.1029/JB078i029p06951","","2016-04-07T00:00:00Z","5138682","https://www.osti.gov/biblio/5138682","","J. Geophys. Res.; (United States)","","78:29"
"Heat flow in a 'blind' geothermal area near Marysville, Montana. [Magma chamber]","Blackwell, D D; Baag, C -Z","15 GEOTHERMAL ENERGY; GEOTHERMAL FIELDS; HEAT FLOW; MONTANA; BOREHOLES; GEOTHERMAL EXPLORATION; MAGMA; THERMAL WATERS; CAVITIES; EXPLORATION; IGNEOUS ROCKS; NORTH AMERICA; ROCKS; USA; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","Southern Methodist Univ., Dallas, TX","","","United States","1973-10-01T00:00:00Z","English","Journal Article","","Journal Name: Geophysics; Journal Volume: 38:5","","Medium: X; Size: Pages: 941-56","","","","Journal ID: CODEN: GPYSA","10.1190/1.1440384","","2016-05-30T00:00:00Z","5240039","https://www.osti.gov/biblio/5240039","","Geophysics","","38:5"
"Geothermal drilling in California","Cromling, J","15 GEOTHERMAL ENERGY; GEOTHERMAL WELLS; WELL DRILLING; GEYSERS GEOTHERMAL FIELD; CALIFORNIA; DESIGN; HIGH TEMPERATURE; IMPERIAL VALLEY; WELL CASINGS; DRILLING; GEOTHERMAL FIELDS; NORTH AMERICA; USA; WELLS; 150901* - Geothermal Engineering- Drilling Technology & Well Hardware","","","","Big Chief Drill Co., Oklahoma City","","","United States","1973-09-01T00:00:00Z","English","Journal Article","","Journal Name: J. Pet. Technol.; Journal Volume: 25","","Medium: X; Size: Pages: 1033-8","","","","Journal ID: CODEN: JPTCA","10.2118/4177-PA","","2016-05-26T00:00:00Z","5175626","https://www.osti.gov/biblio/5175626","","J. Pet. Technol.","","25"
"Interpretation of dipole-dipole resistivity surveys using a hemispheroidal model","Bibby, H M; Risk, G F","15 GEOTHERMAL ENERGY; BROADLANDS GEOTHERMAL FIELD; ELECTRICAL SURVEYS; MEASURING METHODS; AQUIFERS; DIPOLES; GEOTHERMAL EXPLORATION; HOT-WATER SYSTEMS; EXPLORATION; GEOPHYSICAL SURVEYS; GEOTHERMAL FIELDS; GEOTHERMAL SYSTEMS; HYDROTHERMAL SYSTEMS; MULTIPOLES; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","Dept. Sci. Industrial Res., Wellington, New Zealand","","","United States","1973-08-01T00:00:00Z","English","Journal Article","","Journal Name: Geophysics; Journal Volume: 38:4","","Medium: X; Size: Pages: 719-36","","","","Journal ID: CODEN: GPYSA","10.1190/1.1440371","","2016-05-03T00:00:00Z","5146245","https://www.osti.gov/biblio/5146245","","Geophysics","","38:4"
"Effect of solute dispersion on thermal convection in a porous medium layer","Rubin, H","15 GEOTHERMAL ENERGY; AQUIFERS; NATURAL CONVECTION; SALINITY; SALTS; DIFFUSION; CORRELATIONS; FLUID FLOW; SPATIAL DISTRIBUTION; THERMAL WATERS; CONVECTION; DISTRIBUTION; ENERGY TRANSFER; HEAT TRANSFER; 152000* - Geothermal Data & Theory","","","","Technion, Haifa, Israel","","","United States","1973-08-01T00:00:00Z","English","Journal Article","","Journal Name: Water Resour. Res.; (United States); Journal Volume: 9:4","","Medium: X; Size: Pages: 968-74","","","","Journal ID: CODEN: WRERA","10.1029/WR009i004p00968","","2016-04-12T00:00:00Z","5136880","https://www.osti.gov/biblio/5136880","","Water Resour. Res.; (United States)","","9:4"
"Temperature regime of the upper layers of the earth crust and USSR geotemperature maps","Frolov, N M","15 GEOTHERMAL ENERGY; EARTH CRUST; TEMPERATURE DISTRIBUTION; USSR; AQUIFERS; GEOTHERMAL GRADIENTS; GROUND WATER; HEAT TRANSFER; MAPS; VARIATIONS; ENERGY TRANSFER; EUROPE; HYDROGEN COMPOUNDS; OXYGEN COMPOUNDS; TEMPERATURE GRADIENTS; WATER; 150202* - Geology & Hydrology of Geothermal Systems- Non-USA- (-1989)","","","","Nation","","","United States","1973-06-01T00:00:00Z","English","Journal Article","","Journal Name: Geothermics; (United States); Journal Volume: 2:2","","Medium: X; Size: Pages: 68-72","","","","Journal ID: CODEN: GTMCA","10.1016/0375-6505(73)90005-9","","2016-05-03T00:00:00Z","5139493","https://www.osti.gov/biblio/5139493","","Geothermics; (United States)","","2:2"
"Five-component magneto-telluric method in geothermal exploration: the M. T. -5-E. X","Muse, L","15 GEOTHERMAL ENERGY; ELECTROMAGNETIC SURVEYS; MEASURING METHODS; GEOTHERMAL EXPLORATION; ELECTRIC CURRENTS; EQUATIONS; GEOTHERMAL RESOURCES; ITALY; MAGNETIC FIELDS; CURRENTS; ELECTRICAL SURVEYS; EUROPE; EXPLORATION; GEOPHYSICAL SURVEYS; RESOURCES; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","BEICIP, 366 Avenue Bonaparte, 92 Rueil - Malmaison, France","","","United States","1973-06-01T00:00:00Z","English","Journal Article","","Journal Name: Geothermics; (United States); Journal Volume: 2:2","","Medium: X; Size: Pages: 41-50","","","","Journal ID: CODEN: GTMCA","10.1016/0375-6505(73)90001-1","","2016-04-19T00:00:00Z","5175849","https://www.osti.gov/biblio/5175849","","Geothermics; (United States)","","2:2"
"Positive heat flow anomaly in the Carpathian Basin","Boldizsar, T","15 GEOTHERMAL ENERGY; HUNGARY; HEAT FLOW; GEOPHYSICAL SURVEYS; GEOTHERMAL EXPLORATION; GEOTHERMAL RESOURCES; MAPS; TEMPERATURE GRADIENTS; TEMPERATURE MEASUREMENT; EUROPE; EXPLORATION; RESOURCES; 150202* - Geology & Hydrology of Geothermal Systems- Non-USA- (-1989)","","","","Tech. Univ., H-3515 Miskolc-Egyetemvaros, Hungary","","","United States","1973-06-01T00:00:00Z","English","Journal Article","","Journal Name: Geothermics; (United States); Journal Volume: 2:2","","Medium: X; Size: Pages: 61-7","","","","Journal ID: CODEN: GTMCA","10.1016/0375-6505(73)90004-7","","2016-05-17T00:00:00Z","5148105","https://www.osti.gov/biblio/5148105","","Geothermics; (United States)","","2:2"
"Oxygen-18 and carbon-13 contents of the sulfates and the carbonates associated in some oxidizing geothermal environments","Cortecci, G","15 GEOTHERMAL ENERGY; CARBON ISOTOPES; ISOTOPE RATIO; CARBONATES; FUMAROLIC FLUIDS; CHEMICAL COMPOSITION; OXYGEN ISOTOPES; SULFATES; CARBON 13; FUMAROLES; HYDROTHERMAL SYSTEMS; LIMESTONE; OXIDATION; OXYGEN 18; SULFURIC ACID; CARBON COMPOUNDS; CARBONATE ROCKS; CHEMICAL REACTIONS; EVEN-EVEN NUCLEI; EVEN-ODD NUCLEI; FLUIDS; GEOTHERMAL FLUIDS; GEOTHERMAL SYSTEMS; HYDROGEN COMPOUNDS; INORGANIC ACIDS; ISOTOPES; LIGHT NUCLEI; NUCLEI; OXYGEN COMPOUNDS; RESERVOIR ROCK; ROCKS; SEDIMENTARY ROCKS; STABLE ISOTOPES; SULFUR COMPOUNDS; 150302* - Geothermal Exploration & Exploration Technology- Geochemical Techniques & Surveys","","","","Nuclear Geol. Lab., Univ. Pisa, Italy","","","United States","1973-06-01T00:00:00Z","English","Journal Article","","Journal Name: Geothermics; (United States); Journal Volume: 2:2","","Medium: X; Size: Pages: 51-6","","","","Journal ID: CODEN: GTMCA","10.1016/0375-6505(73)90002-3","","2016-05-20T00:00:00Z","5147703","https://www.osti.gov/biblio/5147703","","Geothermics; (United States)","","2:2"
