"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Delayed fracture of geothermal bore casing steels","Marshall, T; Tombs, A","15 GEOTHERMAL ENERGY; GEOTHERMAL WELLS; WELL CASINGS; CORROSION; FRACTURES; PERFORMANCE; STEELS; STRESSES; ALLOYS; CHEMICAL REACTIONS; FAILURES; IRON ALLOYS; IRON BASE ALLOYS; WELLS; 150903* - Geothermal Engineering- Corrosion, Scaling & Materials Development","","","","DSIR, Private Bag, Petone, New Zealand","","","United States","1969-09-01T00:00:00Z","English","Journal Article","","Journal Name: Australas. Corros. Eng.; Journal Volume: 13:9","","Medium: X; Size: Pages: 7-14","","","","Journal ID: CODEN: ACOEA","","","2009-12-16T00:00:00Z","5147524","https://www.osti.gov/biblio/5147524","","Australas. Corros. Eng.","","13:9"
"Microearthquakes near The Geysers, Sonoma County, California","Lange, A L; Westphal, W H","15 GEOTHERMAL ENERGY; GEYSERS GEOTHERMAL FIELD; MICROEARTHQUAKES; EARTHQUAKES; GEOTHERMAL FIELDS; SEISMIC EVENTS; 150201* - Geology & Hydrology of Geothermal Systems- USA- (-1989)","","","","","","","United States","1969-08-15T00:00:00Z","English","Journal Article","","Journal Name: J. Geophys. Res.; (United States); Journal Volume: 74; Other Information: From Power from the Earth: Geothermal Energy (Bibliography), p. 17","","Medium: X; Size: Pages: 4377-8","","","","Journal ID: CODEN: JGREA","10.1029/JB074i017p04377","","2016-05-17T00:00:00Z","5170367","https://www.osti.gov/biblio/5170367","","J. Geophys. Res.; (United States)","","74"
"New maps on geysers area (Sonoma, Mendocino, and Lake Counties, CA)","","15 GEOTHERMAL ENERGY; GEYSERS GEOTHERMAL FIELD; MAPS; CALIFORNIA; GEOTHERMAL FIELDS; NORTH AMERICA; USA; 150201* - Geology & Hydrology of Geothermal Systems- USA- (-1989)","","","","","","","United States","1969-08-01T00:00:00Z","English","Journal Article","","Journal Name: Mineral Info. Serv.; (); Journal Volume: 22; Other Information: From Power from the Earth: Geothermal Energy (Bibliography), p. 13","","Medium: X; Size: Pages: 133","","","","","","","2009-12-16T00:00:00Z","5198469","https://www.osti.gov/biblio/5198469","","Mineral Info. Serv.; ()","","22"
"Application of material and energy balances to geothermal steam production","Ramey, R L.W.; Henry, J., Jr.","15 GEOTHERMAL ENERGY; GEOTHERMAL FLUIDS; THERMODYNAMIC PROPERTIES; GEOTHERMAL WELLS; MANAGEMENT; PERFORMANCE; EQUATIONS; GEOTHERMAL ENERGY; GEYSERS; HEAT FLOW; HOT SPRINGS; STEAM; THERMODYNAMICS; ENERGY; ENERGY SOURCES; FLUIDS; PHYSICAL PROPERTIES; RENEWABLE ENERGY SOURCES; THERMAL SPRINGS; WELLS; 150904* - Geothermal Engineering- Geothermal Reservoir & Well Performance","","","","Texas A and M Univ., College Station and Stanford Univ., CA","","","United States","1969-07-01T00:00:00Z","English","Journal Article","","Journal Name: J. Pet. Technol.","","Medium: X; Size: Pages: 893-900","","","","Journal ID: CODEN: JPTCA","","","2009-12-16T00:00:00Z","5146193","https://www.osti.gov/biblio/5146193","","J. Pet. Technol.","",""
"Application of material and energy balances to geothermal steam production","Whiting, R L","15 GEOTHERMAL ENERGY; GEOTHERMAL ENERGY; POWER POTENTIAL; GEOTHERMAL FIELDS; MANAGEMENT; GEOTHERMAL FLUIDS; MATERIAL BALANCE; PRODUCTION; RESERVES; GEOTHERMAL WELLS; PERFORMANCE; ELECTRIC POWER; FORECASTING; GEOCHEMISTRY; NEW ZEALAND; NUMERICAL SOLUTION; RECOVERY; AUSTRALASIA; CHEMISTRY; ENERGY; ENERGY SOURCES; FLUIDS; POWER; RENEWABLE ENERGY SOURCES; RESOURCES; WELLS; 150101* - Geothermal Energy- Resources & Availability- USA- (-1989)","","","","A and M Univ., TX","","","United States","1969-07-01T00:00:00Z","English","Journal Article","","Journal Name: J. Pet. Technol.; (United States); Journal Volume: 21:7","","Medium: X; Size: Pages: 893-900","","","","Journal ID: CODEN: JPTCA","10.2118/1949-PA","","2016-05-19T00:00:00Z","5141482","https://www.osti.gov/biblio/5141482","","J. Pet. Technol.; (United States)","","21:7"
"Geothermal heat flow probe for in situ measurement of both temperature gradient ad thermal conductivity","Christoffel, D A; Calhaem, I M","15 GEOTHERMAL ENERGY; HEAT FLOW; MEASURING INSTRUMENTS; SEDIMENTS; TEMPERATURE GRADIENTS; THERMAL CONDUCTIVITY; PHYSICAL PROPERTIES; THERMODYNAMIC PROPERTIES; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","Victoria Univ., Wellington, New Zealand","","","United States","1969-06-01T00:00:00Z","English","Journal Article","","Journal Name: J. Sci. Instrum.; Journal Volume: 2, Ser. 2:6","","Medium: X; Size: Pages: 457-65","","","","Journal ID: CODEN: JSINA","10.1088/0022-3735/2/6/301","","2016-05-06T00:00:00Z","5214745","https://www.osti.gov/biblio/5214745","","J. Sci. Instrum.","","2, Ser. 2:6"
"Comparison of terrestrial heat flow and transient geomagnetic fluctuations in the southwestern United States","Warren, R E; Sclater, J G; Vacquier, V; Roy, R F","15 GEOTHERMAL ENERGY; ARIZONA; HEAT FLOW; MAGNETIC SURVEYS; TEXAS; GEOMAGNETIC FIELD; GEOTHERMAL EXPLORATION; EXPLORATION; GEOPHYSICAL SURVEYS; MAGNETIC FIELDS; NORTH AMERICA; USA; 150201* - Geology & Hydrology of Geothermal Systems- USA- (-1989)","","","","","","","United States","1969-06-01T00:00:00Z","English","Journal Article","","Journal Name: Geophysics; (United States); Journal Volume: 34:3","","Medium: X; Size: Pages: 463-78","","","","Journal ID: CODEN: GPYSA","10.1190/1.1440023","","2016-05-30T00:00:00Z","5140282","https://www.osti.gov/biblio/5140282","","Geophysics; (United States)","","34:3"
"Power from the Earth's own heat","Lessing, L","15 GEOTHERMAL ENERGY; GEOTHERMAL ENERGY; ELECTRIC POWER; POWER POTENTIAL; ENERGY; ENERGY SOURCES; POWER; RENEWABLE ENERGY SOURCES; 150100* - Geothermal Energy- Resources & Availability","","","","","","","United States","1969-06-01T00:00:00Z","English","Journal Article","","Journal Name: Fortune; (United States); Journal Volume: 79; Other Information: From Power from the Earth: Geothermal Energy (Bibliography), p. 6","","Medium: X; Size: Pages: 138-41","","","","Journal ID: CODEN: FORTA","","","2009-12-16T00:00:00Z","5170846","https://www.osti.gov/biblio/5170846","","Fortune; (United States)","","79"
"Exploitation of geothermal energy for power production","Schewe, L D","15 GEOTHERMAL ENERGY; GEOTHERMAL ENERGY; ELECTRIC POWER; GEOTHERMAL POWER PLANTS; PERFORMANCE; ECONOMICS; POWER GENERATION; ENERGY; ENERGY SOURCES; POWER; POWER PLANTS; RENEWABLE ENERGY SOURCES; THERMAL POWER PLANTS; 150801* - Geothermal Power Plants- Design & Operation; 150500 - Geothermal Energy- Economics, Industrial, & Business Aspects","","","","Batelle Inst., Frankfurt/Main, W. Germany","","","United States","1969-04-01T00:00:00Z","German","Journal Article","","Journal Name: Energie; Journal Volume: 21:4","","Medium: X; Size: Pages: 124-7","","","","Journal ID: CODEN: ENERA","","","2009-12-16T00:00:00Z","5241609","https://www.osti.gov/biblio/5241609","","Energie","","21:4"
"New thermal anomalies in the Imperial Valley of California","Rex, R W; Randall, W","15 GEOTHERMAL ENERGY; IMPERIAL VALLEY; GEOPHYSICAL SURVEYS; CALIFORNIA; GEOTHERMAL FIELDS; HEAT FLOW; TEMPERATURE MEASUREMENT; NORTH AMERICA; USA; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","","","","United States","1969-04-01T00:00:00Z","English","Journal Article","","Journal Name: Trans. Am. Geophys. Union; (United States); Journal Volume: 50; Other Information: From Power from the Earth: Geothermal Energy (Bibliography), p. 12","","Medium: X; Size: Pages: 348","","","","Journal ID: CODEN: TAGUA","","","2009-12-16T00:00:00Z","5169659","https://www.osti.gov/biblio/5169659","","Trans. Am. Geophys. Union; (United States)","","50"
